iter	Passed	Remaining
0	121	72829
1	224	67217
2	319	63671
3	422	62920
4	515	61301
5	605	59974
6	696	59006
7	803	59460
8	908	59689
9	1013	59774
10	1119	59938
11	1218	59728
12	1307	59041
13	1394	58349
14	1490	58121
15	1583	57809
16	1680	57622
17	1764	57047
18	1848	56539
19	1933	56059
20	2017	55621
21	2104	55301
22	2193	55020
23	2285	54856
24	2374	54617
25	2468	54505
26	2557	54285
27	2647	54075
28	2743	54022
29	2834	53859
30	2933	53852
31	3026	53714
32	3122	53647
33	3213	53502
34	3317	53557
35	3409	53413
36	3506	53353
37	3603	53290
38	3731	53670
39	3859	54036
40	3971	54154
41	4068	54047
42	4172	54043
43	4260	53842
44	4354	53708
45	4449	53585
46	4543	53458
47	4639	53357
48	4736	53258
49	4834	53176
50	4931	53085
51	5027	52980
52	5123	52881
53	5217	52757
54	5309	52608
55	5408	52537
56	5501	52409
57	5596	52297
58	5691	52192
59	5793	52142
60	5894	52084
61	5991	51992
62	6087	51892
63	6185	51804
64	6280	51696
65	6373	51568
66	6469	51464
67	6560	51324
68	6665	51297
69	6761	51192
70	6850	51042
71	6948	50955
72	7049	50894
73	7145	50791
74	7234	50639
75	7339	50602
76	7433	50490
77	7525	50363
78	7619	50251
79	7710	50120
80	7809	50040
81	7906	49947
82	8001	49841
83	8093	49715
84	8188	49613
85	8286	49523
86	8378	49403
87	8466	49260
88	8563	49165
89	8664	49096
90	8755	48974
91	8850	48871
92	8946	48773
93	9043	48682
94	9135	48564
95	9226	48436
96	9316	48311
97	9403	48167
98	9500	48080
99	9594	47973
100	9678	47818
101	9759	47650
102	9848	47519
103	9936	47391
104	10025	47261
105	10109	47115
106	10205	47021
107	10293	46892
108	10386	46786
109	10481	46691
110	10573	46582
111	10669	46487
112	10766	46398
113	10868	46332
114	10956	46209
115	11042	46075
116	11137	45976
117	11231	45877
118	11326	45783
119	11414	45658
120	11503	45540
121	11594	45426
122	11691	45341
123	11784	45237
124	11870	45109
125	11963	45003
126	12056	44904
127	12144	44783
128	12234	44671
129	12328	44573
130	12424	44481
131	12531	44428
132	12627	44338
133	12715	44218
134	12808	44116
135	12903	44022
