iter	RMSE
0	3701.852388
1	3405.914138
2	3129.247197
3	2880.637986
4	2653.856634
5	2449.367721
6	2262.857353
7	2092.410882
8	1936.508864
9	1799.902265
10	1673.14511
11	1557.358224
12	1457.584936
13	1366.797043
14	1285.939887
15	1211.355271
16	1145.511389
17	1087.581641
18	1034.088818
19	987.8488455
20	946.3877443
21	909.5063032
22	876.4585444
23	846.4216063
24	819.58806
25	795.5298446
26	775.8166125
27	757.4129203
28	741.1605945
29	727.0374489
30	714.8856612
31	703.9740604
32	693.982497
33	685.2898783
34	677.1155177
35	669.5755832
36	663.045537
37	657.0472807
38	652.1769686
39	646.8463393
40	642.5179972
41	639.1280911
42	635.6928307
43	631.893536
44	629.1971515
45	626.4998548
46	624.0745608
47	621.3703063
48	619.0363824
49	616.9343286
50	614.8885022
51	613.2289507
52	611.6591417
53	610.0091271
54	608.5462501
55	606.920633
56	605.7312128
57	604.5794213
58	603.5860471
59	602.6175602
60	601.7751879
61	600.8083173
62	600.0013594
63	599.2727297
64	598.5410756
65	597.9886923
66	597.4531117
67	596.6276643
68	596.1846841
69	595.2544654
70	594.6556635
71	594.047011
72	593.5377572
73	593.0039376
74	592.6245798
75	592.1923189
76	591.5239989
77	591.1224208
78	590.5627748
79	590.0440337
80	589.6054945
81	589.3223959
82	588.9369042
83	588.5537817
84	588.1031528
85	587.8543614
86	587.6185424
87	587.216171
88	586.9747658
89	586.5659422
90	586.1504096
91	585.9086079
92	585.6574758
93	585.2504645
94	585.0450858
95	584.8635544
96	584.6424476
97	584.46474
98	584.3008913
99	584.0116145
100	583.783018
101	583.679308
102	583.5306539
103	583.2988101
104	583.1641488
105	582.8509209
106	582.5662681
107	582.4257318
108	582.307394
109	582.1519354
110	581.9490066
111	581.854406
112	581.6832123
113	581.4197636
114	581.2828133
115	580.9196854
116	580.7192679
117	580.5886401
118	580.3322266
119	580.1843861
120	579.9403593
121	579.7119411
122	579.584077
123	579.5140199
124	579.3166933
125	579.2105066
126	579.0076023
127	578.8929614
128	578.8087798
129	578.6648472
130	578.4843764
131	578.2704092
132	578.1207081
133	577.9478584
134	577.821051
135	577.7173717
136	577.6044008
137	577.426468
138	577.3808883
139	577.2998689
140	577.1294346
141	576.9978885
142	576.8075435
143	576.703198
144	576.5193415
145	576.3446
146	576.204503
147	576.131683
148	575.8955329
149	575.8020081
150	575.6319215
151	575.5311681
152	575.3756305
153	575.2322307
154	575.1311682
155	574.9682534
156	574.8262202
157	574.6897815
158	574.6073906
159	574.5030417
160	574.4240996
161	574.3195815
162	574.237023
163	574.1008995
164	574.0123091
165	573.917222
166	573.8322316
167	573.6954112
168	573.6427036
169	573.5040456
170	573.448606
171	573.3227313
172	573.1935365
173	573.1255967
174	573.0411518
175	572.9343691
176	572.8416422
177	572.7931752
178	572.7284686
179	572.6638643
180	572.5972367
181	572.4680576
182	572.2416509
183	572.1625365
184	572.0799115
185	571.9718344
186	571.8319962
187	571.7349712
188	571.6969922
189	571.5739527
190	571.448313
191	571.3667702
192	571.3153431
193	571.132277
194	571.0446511
195	570.9271297
196	570.8545856
197	570.7039928
198	570.6086382
199	570.4432847
200	570.3202921
201	570.2081557
202	570.1354484
203	570.0464902
204	569.8682449
205	569.7281391
206	569.691592
207	569.6690428
208	569.6000749
209	569.5200695
210	569.4471572
211	569.3805561
212	569.2813918
213	569.1009814
214	569.0272356
215	568.8926489
216	568.6749964
217	568.593837
218	568.4750413
219	568.3791385
220	568.2743246
221	568.164047
222	568.1061665
223	568.0268977
224	568.001764
225	567.8704319
226	567.7445336
227	567.6324565
228	567.5643611
229	567.4367011
230	567.3405612
231	567.2306176
232	567.1221187
233	567.046121
234	566.9297697
235	566.8333615
236	566.7570852
237	566.6652825
238	566.5033221
239	566.4519185
240	566.3657557
241	566.3085348
242	566.2267481
243	566.1243788
244	566.1055436
245	565.9839305
246	565.936259
247	565.8546605
248	565.7682847
249	565.7216192
250	565.6221931
251	565.54831
252	565.4843513
253	565.3455427
254	565.2095375
255	565.1315762
256	565.0511406
257	564.9482962
258	564.9340089
259	564.896814
260	564.7938567
261	564.7127033
262	564.6692955
263	564.5537024
264	564.4903332
265	564.4073776
266	564.3271228
267	564.2580766
268	564.1860459
269	564.1345433
270	563.9870089
271	563.8920608
272	563.8301936
273	563.7713278
274	563.7007381
275	563.6536146
276	563.555454
277	563.49585
278	563.451006
279	563.3568529
280	563.273194
281	563.1616939
282	563.1020033
283	562.998264
284	562.9213859
285	562.8575447
286	562.7662101
287	562.6603403
288	562.5401871
289	562.4685266
290	562.3755933
291	562.2735133
292	562.1956088
293	562.1349681
294	562.0755287
295	561.9826171
296	561.8972373
297	561.8404227
298	561.7626792
299	561.6981928
300	561.6667402
301	561.6024859
302	561.5384962
303	561.4891754
304	561.4042692
305	561.2857601
306	561.2250399
307	561.1592919
308	561.1295645
309	561.0810552
310	560.9576145
311	560.8929564
312	560.8797163
313	560.8330487
314	560.7312359
315	560.6853071
316	560.622348
317	560.5425715
318	560.4505757
319	560.3883743
320	560.3522781
321	560.2744087
322	560.2332773
323	560.1659475
324	560.0920119
325	560.0217552
326	559.937244
327	559.883425
328	559.8393352
329	559.7745005
330	559.7118088
331	559.6053108
332	559.5296152
333	559.4842278
334	559.4709205
335	559.4088984
336	559.3307925
337	559.2756387
338	559.2216918
339	559.1163325
340	559.0632305
341	558.9522267
342	558.8697142
343	558.7815279
344	558.7191603
345	558.6719643
346	558.6400458
347	558.5343064
348	558.4994126
349	558.3887123
350	558.3427667
351	558.2847696
352	558.1713373
353	558.1075501
354	558.0463202
355	558.0013953
356	557.9139896
357	557.8217515
358	557.7816052
359	557.6705738
360	557.6083022
361	557.5374405
362	557.4909262
363	557.3940096
364	557.3211364
365	557.3048773
366	557.236465
367	557.2120774
368	557.123037
369	557.0831766
370	556.9797957
371	556.9331294
372	556.8585043
373	556.7689867
374	556.6980068
375	556.6466596
376	556.5902172
377	556.5186357
378	556.4431787
379	556.3772403
380	556.345495
381	556.3050587
382	556.2764852
383	556.2329305
384	556.1969523
385	556.1669782
386	556.0995895
387	556.086623
388	556.0744338
389	556.0066237
390	555.9457382
391	555.8671303
392	555.7733875
393	555.7328331
394	555.670595
395	555.6121903
396	555.5284337
397	555.5001243
398	555.44701
399	555.3884196
400	555.3151119
401	555.2546464
402	555.201328
403	555.1904134
404	555.1265023
405	555.0319831
406	555.0071501
407	554.9892742
408	554.9383611
409	554.8859495
410	554.8520323
411	554.7525442
412	554.6417419
413	554.5994954
414	554.5350791
415	554.4896833
416	554.408912
417	554.3523817
418	554.2671461
419	554.2083881
420	554.1523643
421	554.1000534
422	554.0080371
423	553.9496878
424	553.875299
425	553.8100652
426	553.711173
427	553.7024538
428	553.6835082
429	553.6197611
430	553.5725716
431	553.4754899
432	553.3880113
433	553.3250415
434	553.2904739
435	553.2523286
436	553.2173798
437	553.1533233
438	553.1216184
439	553.0464637
440	553.0224979
441	552.9875844
442	552.9286414
443	552.8955854
444	552.8854046
445	552.7882024
446	552.7058879
