iter	Passed	Remaining
0	151	151142
1	248	123865
2	384	127717
3	448	111609
4	511	101714
5	623	103325
6	721	102359
7	783	97167
8	884	97418
9	974	96438
10	1060	95369
11	1260	103786
12	1375	104455
13	1452	102284
14	1552	101920
15	1672	102874
16	1740	100617
17	1840	100436
18	1943	100333
19	2032	99576
20	2169	101139
21	2233	99306
22	2297	97609
23	2513	102224
24	2619	102171
25	2705	101347
26	2787	100455
27	2870	99633
28	2942	98531
29	3021	97703
30	3125	97686
31	3219	97395
32	3388	99307
33	3480	98895
34	3594	99097
35	3744	100263
36	3811	99211
37	3902	98801
38	3998	98531
39	4107	98575
40	4222	98761
41	4413	100672
42	4488	99893
43	4544	98729
44	4594	97512
45	4646	96366
46	4733	95986
47	4834	95893
48	4907	95253
49	4960	94258
50	5085	94626
51	5176	94364
52	5251	93826
53	5315	93125
54	5415	93039
55	5502	92764
56	5562	92024
57	5611	91139
58	5699	90905
59	5763	90299
60	5814	89499
61	5868	88789
62	5948	88472
63	6039	88324
64	6111	87909
65	6190	87597
66	6294	87656
67	6371	87323
68	6468	87275
69	6567	87251
70	6695	87602
71	6831	88055
72	6903	87662
73	7055	88292
74	7159	88299
75	7326	89076
76	7437	89151
77	7536	89083
78	7633	88994
79	7759	89231
80	7905	89698
81	8190	91694
82	8364	92410
83	8565	93404
84	8699	93643
85	8760	93101
86	8897	93374
87	9080	94104
88	9329	95500
89	9646	97532
90	9821	98107
91	9960	98307
92	10070	98216
93	10169	98017
94	10250	97653
95	10363	97589
96	10462	97396
97	10569	97286
98	10639	96832
99	10721	96495
100	10808	96207
101	11049	97280
102	11206	97594
103	11348	97770
104	11431	97442
105	11614	97953
106	11758	98133
107	11820	97628
108	11918	97427
109	11980	96936
110	12057	96572
111	12171	96505
112	12306	96596
113	12486	97047
114	12586	96858
115	12703	96806
116	12785	96491
117	12897	96400
118	13010	96318
119	13139	96359
120	13297	96599
121	13401	96445
122	13512	96342
123	13605	96114
124	13757	96304
125	13889	96342
126	14050	96583
127	14198	96724
128	14338	96812
129	14531	97250
130	14683	97404
131	14827	97501
132	14988	97706
133	15137	97828
134	15228	97577
135	15276	97049
136	15330	96570
137	15406	96236
138	15530	96202
139	15590	95769
140	15671	95476
141	15772	95302
142	15852	95004
143	16161	96070
144	16359	96464
145	16537	96732
146	16630	96502
147	16711	96202
148	16813	96031
149	16892	95722
150	16963	95378
151	17065	95208
152	17133	94848
153	17201	94496
154	17274	94174
155	17336	93796
156	17404	93452
157	17474	93124
158	17529	92718
159	17587	92335
160	17715	92319
161	17792	92037
162	17855	91689
163	17910	91300
164	17960	90890
165	18008	90475
166	18053	90048
167	18104	89661
168	18165	89322
169	18219	88956
170	18270	88575
171	18340	88291
172	18404	87979
173	18475	87707
174	18558	87492
175	18625	87199
176	18711	87003
177	18771	86686
178	18844	86432
179	18898	86094
180	18964	85813
181	19027	85517
182	19080	85182
183	19128	84829
184	19192	84549
185	19254	84263
186	19304	83926
187	19361	83626
188	19409	83287
189	19545	83326
190	19645	83211
